topic,time,cui,cui_name,curated_nameprob,hpo,hpo_name
0,0,C0264222,Acute upper respiratory infection,acute respiratory tract infection,0.04952061159739376,HP:0011948,Acute respiratory tract infection
0,0,C2349675,Fever and other physiologic disturbances of temperature regulation,fever and  physiologic disturbances of temperature regulation,0.035963057330644393,HP:0004370,Abnormality of temperature regulation
0,0,C0029882,Otitis Media,,0.03527789766887909,HP:0000388,Otitis media
0,0,C0375319,Acute bronchiolitis due to other infectious organisms,acute bronchiolitis due to  infectious organisms,0.02321896328165556,,
0,0,C0153114,Unspecified viral infection in conditions classified elsewhere and of unspecified site, viral infection in conditions classified elsewhere and of  site,0.020783773643274762,HP:0002719,Recurrent infections
0,0,C0158489,Acquired clubfoot,acquired clubfoot,0.012315543777497212,HP:0001762,Talipes equinovarus
0,0,C0395861,Acute suppurative otitis media without spontaneous rupture of ear drum,acute suppurative otitis media ,0.01114254421125735,HP:0000403,Recurrent otitis media
0,0,C0546884,Hypovolemia,,0.011068539977688852,HP:0011106,Hypovolemia
0,0,C0029512,Other and unspecified noninfectious gastroenteritis and colitis,gastrointestinal inflammation,0.01064881031455446,HP:0004386,Gastrointestinal inflammation
0,0,C0009081,Congenital clubfoot,,0.009972338203379356,HP:0001762,Talipes equinovarus
0,0,C0494831,Other atopic dermatitis, atopic dermatitis,0.008784607242587323,HP:0001047,Atopic dermatitis
0,0,C0006849,Oral candidiasis,oral candidiasis,0.008708962222041388,HP:0009098,Chronic oral candidiasis
0,0,C1301937,Talipes,,0.00802688713006528,HP:0001883,Talipes
0,0,C0375487,"Contact dermatitis and other eczema, unspecified cause","contact dermatitis and  eczema,  cause",0.007697419954921919,HP:0001047,Atopic dermatitis
0,0,C0348799,Acute bronchiolitis due to respiratory syncytial virus,acute bronchiolitis due to respiratory syncytial virus,0.007088658890045781,HP:0002088,Abnormality of the lung
0,0,C0010200,Coughing,,0.00694242952013535,HP:0012735,Cough
0,0,C0009763,Conjunctivitis,,0.006136956394511047,HP:0000509,Conjunctivitis
0,0,C1279224,"Infectious colitis, enteritis and gastroenteritis","infectious colitis, enteritis and gastroenteritis",0.006039996558844515,HP:0002583,Colitis
0,0,C0155886,"Asthma, unspecified type, without mention of status asthmaticus","asthma,  type, ",0.005893871324199701,HP:0002099,Asthma
0,0,C0015230,Exanthema,,0.005437635124511113,HP:0000988,Skin rash
0,0,C0728950,Vomiting alone,vomiting alone,0.00527827130227897,HP:0002013,Vomiting
0,0,C2712941,Disorder of stomach function and feeding problems in newborn,disorder of stomach function and feeding problems in newborn,0.005084524865210964,HP:0011968,Feeding difficulties
0,0,C0158210,"Other symptoms referable to joint, pelvic region and thigh"," symptoms referable to joint, pelvic region and thigh",0.004751952362535051,,
0,0,C0009806,Constipation,,0.0042964056904173644,HP:0002019,Constipation
0,0,C0010380,Croup,abnormality of the vocal cords,0.004216582439174667,HP:0008777,Abnormality of the vocal cords
0,0,C0154246,"Urea Cycle Disorders, Inborn","urea cycle disorders, inborn",0.004037349463198802,HP:0001939,Abnormality of metabolism/homeostasis
0,0,C0489952,"Intestinal infection due to other organism, NEC in ICD9CM","intestinal infection due to  organism,",0.0038020562584989317,HP:0004798,Recurrent infection of the gastrointestinal tract
0,0,C0006842,Candidiasis of skin and nails,candidiasis of skin and nails,0.0037608498559620635,HP:0002728,Chronic mucocutaneous candidiasis
0,0,C0009702,Unilateral congenital dislocation of hip,unilateral congenital dislocation of hip,0.003677098867707023,HP:0008780,Congenital bilateral hip dislocation
0,0,C0011974,Diaper Rash,diaper rash,0.003656027552627153,HP:0000988,Skin rash
0,0,C0270206,fetus or newborn; jaundice,fetus or newborn; jaundice,0.0036370661591026933,,
0,0,C0029601,Other respiratory abnormalities, respiratory abnormalities,0.0035612762627052967,HP:0002086,Abnormality of the respiratory system
0,0,C0000737,Abdominal Pain,,0.0032529786322939695,HP:0002027,Abdominal pain
0,0,C0154716,"Infantile spasms, with intractable epilepsy"," spasms, ",0.0031122620795997293,HP:0004305,Involuntary movements
0,0,C0018674,Craniocerebral Trauma,craniocerebral trauma,0.0030634408808901405,HP:0012638,Abnormality of nervous system physiology
0,0,C0375526,Hypospadias and epispadias and other penile anomalies,hypospadias and epispadias and  penile anomalies,0.0027798131211326225,,
0,0,C0034919,Redundant prepuce and phimosis,abnormality of the preputium,0.0026845027282551503,HP:0100587,Abnormality of the preputium
0,0,C0011991,Diarrhea,,0.002540935819867846,HP:0002014,Diarrhea
0,0,C0042029,Urinary tract infection,urinary tract infection,0.002382529943830064,HP:0000010,Recurrent urinary tract infections
0,0,C0043144,Wheezing,,0.0023642577941194423,HP:0030828,Wheezing
0,0,C0406047,Local infection skin/subcut tissue NOS,local infection skin/subcut tissue nos,0.0023576336442914666,,
0,0,C0009952,Febrile Convulsions,,0.002109265246946192,HP:0002373,Febrile seizures
0,0,C0153062,Viral exanthem,viral exanthem,0.0020755219073723395,HP:0000988,Skin rash
0,0,C0595979,"Colitis, enteritis and gastroenteritis presumed infectious","colitis, enteritis and gastroenteritis presumed infectious",0.001901700646304925,,
0,0,C0029713,Other preterm infants, preterm infants,0.0018962958267165716,,
0,0,C0476232,Jaundice (not of newborn),jaundice (not of newborn),0.0018227504344373784,HP:0006579,Prolonged neonatal jaundice
0,0,C0029668,Other mucopurulent conjunctivitis, mucopurulent conjunctivitis,0.0018104716992545847,HP:0003781,Excessive salivation
0,0,C0037268,Skin Abnormalities,,0.001636205949453113,HP:0000951,Abnormality of the skin
0,0,C0375546,undiagnosed heart murmur,undiagnosed heart murmur,0.001620561660061463,HP:0030148,Heart murmur
0,0,C0260395,Unspecified combined vaccine, combined vaccine,0.0016026258531830599,HP:0005368,Abnormality of humoral immunity
0,0,C0339951,"Pneumonia, organism unspecified","pneumonia, ",0.0015323675864765314,HP:0002090,Pneumonia
0,0,C0554123,Unilateral inguinal hernia with obstruction but no gangrene,unilateral inguinal hernia ,0.0015263650573455671,HP:0000023,Inguinal hernia
0,0,C0375026,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,viral and chlamydial infection in conditions classified elsewhere and of  site,0.0014875949641319339,,
0,0,C2363246,Other specified congenital malformations of skin,phenotypic abnormality of skin,0.0014367664899237267,,
0,0,C0007645,Cellulitis and abscess NOS (disorder),cellulitis and abscess nos (disorder),0.0014118378280984737,,
0,0,C0155878,Extrinsic asthma without mention of status asthmaticus,extrinsic asthma ,0.0014069682573346145,HP:0002099,Asthma
0,0,C0332544,Abnormal weight gain,abnormal weight gain,0.001392999080499654,HP:0004323,Abnormality of body weight
0,0,C0700625,"Allergy, unspecified, NEC in ICD9CM","allergy, ,",0.001390107232621643,HP:0012393,Allergy
0,0,C0042580,Vesico-Ureteral Reflux,,0.0013686836172623707,HP:0000076,Vesicoureteral reflux
0,0,C0038218,Status Asthmaticus,,0.0013685998102535215,HP:0012653,Status Asthmaticus
0,0,C0043168,Whooping cough due to unspecified organism,whooping cough due to  organism,0.0013460484427609092,,
0,0,C0149512,Acute sinusitis,,0.0012290511408180394,HP:0000255,Acute sinusitis
0,0,C0337228,Fall from bed,fall from bed,0.0012208379165538782,,
0,0,C0152236,Talipes valgus,,0.0012204052364998398,HP:0004684,Talipes valgus
0,0,C0036690,Septicemia,,0.0012089093637009595,HP:0100806,Sepsis
0,0,C0041636,Umbilical hernia without mention of obstruction or gangrene,umbilical hernia ,0.0012031202511937906,HP:0001537,Umbilical hernia
0,0,C0002871,Anemia,,0.0011543135896526092,HP:0001903,Anemia
0,0,C0039437,Teething syndrome,teething syndrome,0.0011381641315664933,HP:0000271,Abnormality of the face
0,0,C1719528,Other stomatitis and mucositis (ulcerative), stomatitis and mucositis (ulcerative),0.0011068117469292173,HP:0011107,Recurrent aphthous stomatitis
0,0,C0021099,Impetigo,impetigo,0.0010552836079350772,HP:0100847,Palmoplantar pustulosis
0,0,C2607914,Allergic rhinitis (disorder),,0.001046932500371967,HP:0003193,Allergic rhinitis
0,0,C0001344,Acute pharyngitis,acute pharyngitis,0.0010460006959953463,HP:0012649,Increased inflammatory response
0,0,C0154715,"Infantile spasms, without mention of intractable epilepsy"," spasms, ",0.0010218472554293942,HP:0004305,Involuntary movements
0,0,C0036508,Seborrheic dermatitis,,0.0010174444187231605,HP:0001051,Seborrheic dermatitis
0,0,C0000768,Congenital Abnormality,congenital abnormality,0.0010157723993424479,,
0,1,C0154453,"Unspecified childhood psychosis, current or active state"," psychosis, ",0.046293320624719365,HP:0000709,Psychosis
0,1,C0264222,Acute upper respiratory infection,acute respiratory tract infection,0.037304123055128334,HP:0011948,Acute respiratory tract infection
0,1,C0029882,Otitis Media,,0.03623258801393933,HP:0000388,Otitis media
0,1,C0153114,Unspecified viral infection in conditions classified elsewhere and of unspecified site, viral infection in conditions classified elsewhere and of  site,0.020796787015575986,HP:0002719,Recurrent infections
0,1,C0395861,Acute suppurative otitis media without spontaneous rupture of ear drum,acute suppurative otitis media ,0.019732858595990287,HP:0000403,Recurrent otitis media
0,1,C0011757,Developmental Coordination Disorder,motor delay,0.01730083512074384,HP:0001270,Motor delay
0,1,C0236827,Mixed receptive-expressive language disorder,language delay,0.017056582883781955,HP:0000750,Delayed speech and language development
0,1,C1384666,hearing impairment,,0.016517140818916472,HP:0000365,Hearing impairment
0,1,C0746674,Generalized muscle weakness,,0.016469786845523207,HP:0003324,Generalized muscle weakness
