cui,cui_name,curated_name,hpo,hpo_name
C0260683,Gastrostomy status,gastrostomy status,,
C0260682,Tracheostomy status,tracheostomy status,,
C0375770,Need for prophylactic vaccination and inoculation against varicella,need for prophylactic vaccination and inoculation against varicella,,
C0260545,examination; infant or child,examination; infant or child,,
C0029625,Other general symptoms, general symptoms,,
C0496621,Need for immunization against yellow fever,need for immunization against yellow fever,,
C0260840,Other follow-up examination, follow-up examination,,
C0375765,"Other specified vaccinations against hemophilus influenza, type B [Hib]"," specified vaccinations against hemophilus influenza, type b [hib]",,
C0375766,Other specified vaccinations against streptococcus pneumoniae [pneumococcus], specified vaccinations against streptococcus pneumoniae [pneumococcus],,
C0878732,Encounter for adequacy testing for peritoneal dialysis,encounter for adequacy testing for peritoneal dialysis,,
C0496634,Need for immunization against measles-mumps-rubella [MMR],need for immunization against measles-mumps-rubella [mmr],,
C1962940,Need for prophylactic vaccination and inoculation against poliomyelitis in ICD9CM,need for prophylactic vaccination and inoculation against poliomyelitis in icd9cm,,
C0260872,Encounter for observation for suspected cardiovascular disease,encounter for observation for suspected cardiovascular disease,,
C0260877,Laboratory examination,laboratory examination,,
C0159107,Nonspecific abnormal auditory function studies,nonspecific abnormal auditory function studies,,
C0260390,"Need for prophylactic vaccination and inoculation against diphtheria-tetanus-pertussis, combined [DTP] [DTaP]","need for prophylactic vaccination and inoculation against diphtheria-tetanus-pertussis, combined [dtp] [dtap]",,
C0260394,Need for prophylactic vaccination and inoculation against other combinations of diseases,need for prophylactic vaccination and inoculation against  combinations of diseases,,
C0260823,Encounter for dietary surveillance and counseling,encounter for dietary surveillance and counseling,,
C0311335,Grand Mal Status Epilepticus,grand mal status epilepticus,,
C0949168,Examination of participant in clinical trial,examination of participant in clinical trial,,
C0481850,Observation for other specified suspected conditions,observation for  specified suspected conditions,,
C0260761,Encounter for attention to gastrostomy,encounter for attention to gastrostomy,,
C0260760,Encounter for attention to tracheostomy,encounter for attention to tracheostomy,,
C0375807,Personal history of other specified urinary system disorders,personal history of  specified urinary system disorders,,
C0000908,Accident caused by caustic and corrosive substances,accident caused by caustic and corrosive substances,,
C0677491,Encounter due to Kidney transplanted,encounter due to kidney transplanted,,
C0260363,Need for prophylactic vaccination and inoculation against typhoid-paratyphoid alone [TAB],need for prophylactic vaccination and inoculation against typhoid-paratyphoid alone [tab],,
C0478550,Need for immunization against other single bacterial diseases,need for immunization against  single bacterial diseases,,
C0015222,Encounter due to examination of ears and hearing,encounter due to examination of ears and hearing,,
C2910943,Encounter for therapeutic drug level monitoring,encounter for therapeutic drug level monitoring,,
C0018812,Health status influenced by heart transplant,health status influenced by heart transplant,,
C0375871,Long-term (current) use of other medications,long-term (current) use of  medications,,
C0302412,"Mechanical complication due to other implant and internal device, not elsewhere classified","mechanical complication due to  implant and internal device, not elsewhere classified",,
C1971612,Encounter for occupational therapy in ICD9CM,encounter for occupational therapy in icd9cm,,
C0261579,"Surgical operation with implant of artificial internal device causing abnormal patient reaction, or later complication,without mention of misadventure at time of operation",surgical operation ,,
C0013080,Down Syndrome,down syndrome,,
C0877845,"Screening for other and unspecified endocrine, nutritional, metabolic, and immunity disorders","screening for  and  endocrine, nutritional, metabolic, and immunity disorders",,
C1135241,Weeks pregnant,weeks pregnant,,
C0375895,Pre-operative respiratory examination,pre-operative respiratory examination,,
C0869240,Burn of unspecified degree of nose (septum),burn of  degree of nose (septum),,
C0159028,General symptom,general symptom,,
C0476555,Need for immunization against viral hepatitis,need for immunization against viral hepatitis,,
C0029488,Other acute reactions to stress, acute reactions to stress,,
C0348773,Encounter for other specified counseling,encounter for  specified counseling,,
C0007235,Physical therapy NEC in ICD9CM_2014,physical therapy,,
C1260452,Need for prophylactic vaccination and inoculation against influenza,need for prophylactic vaccination and inoculation against influenza,,
C1260454,Need for prophylactic vaccination and inoculation against other viral diseases,need for prophylactic vaccination and inoculation against  viral diseases,,
