cui,cui_name,curated_name,hpo,hpo_name
C0160432,"Injury to bladder and urethra, without mention of open wound into cavity","injury to bladder and urethra, ",,
C0342788,Renal carnitine transport defect,renal carnitine transport defect,,
C0153042,Herpetic whitlow,herpetic whitlow,,
C0029549,Other conditions due to autosomal anomalies, conditions due to autosomal anomalies,,
C0029548,Other color vision deficiencies, color vision deficiencies,,
C0236826,Developmental expressive language disorder,expressive language delay,,
C0231835,Tachypnea,,HP:0002789,Tachypnea
C0029543,Other chronic allergic conjunctivitis, chronic allergic conjunctivitis,,
C0029542,Other chorea, chorea,,
C0029545,Other chronic hepatitis, chronic hepatitis,,
C0029544,Other chronic bronchitis, chronic bronchitis,,
C0029547,Other closed skull fracture without mention of intracranial injury, closed skull fracture ,,
C0029546,Other chronic nonalcoholic liver disease, chronic nonalcoholic liver disease,,
C0158095,"Pathological dislocation of joint, pelvic region and thigh","pathological dislocation of joint, pelvic region and thigh",,
C0027651,Neoplasms,,HP:0002664,Neoplasm
C0302431,"Other psychological or physical stress, not elsewhere classified"," psychological or physical stress, not elsewhere classified",,
C0489954,Unspecified viral hepatitis without hepatic coma, viral hepatitis ,,
C0489955,Toxic uninodular goiter without mention of thyrotoxic crisis or storm,toxic uninodular goiter ,,
C0342565,Other specified diseases of thymus gland, specified diseases of thymus gland,,
C0489951,Other specified bacterial intestinal infections, specified bacterial intestinal infections,,
C0489952,"Intestinal infection due to other organism, NEC in ICD9CM","intestinal infection due to  organism,",,
C0489958,Rheumatic chorea without heart involvement,rheumatic chorea ,,
C0489959,Rheumatoid myocarditis,rheumatoid myocarditis,,
C0432378,Congenital malformations of other endocrine glands,congenital malformations of  endocrine glands,,
C0029729,"Other retinal changes, congenital"," retinal changes, congenital",,
C0031192,Persistent Ostium Primum,persistent ostium primum,,
C0031190,Persistent Fetal Circulation Syndrome,,HP:0011726,Persistent fetal circulation
C0678202,Regional enteritis,regional enteritis,,
C0375319,Acute bronchiolitis due to other infectious organisms,acute bronchiolitis due to  infectious organisms,,
