cui,cui_name,class_type,hpo,hpo_name
C0153114,Unspecified viral infection in conditions classified elsewhere and of unspecified site,Concept,,
C0036529,"Myocardial Diseases, Secondary",Concept,,
C0478056,Other obstructive defects of renal pelvis and ureter,Concept,,
C0260683,Gastrostomy status,Concept,,
C0260682,Tracheostomy status,Concept,,
C0699815,Feeding difficulties and mismanagement,Concept,,
C0036440,Idiopathic scoliosis and kyphoscoliosis,Concept,,
C0029557,Other congenital deformity of hip (joint),Concept,,
C0375378,"Vesicoureteral reflux with reflux nephropathy, bilateral",Concept,,
C0021051,Immunologic Deficiency Syndromes,Concept,HP:0002721,Immunodeficiency
C0375770,Need for prophylactic vaccination and inoculation against varicella,Concept,,
C0029551,Other conditions of brain,Concept,,
C0260545,examination; infant or child,Concept,,
C0029625,Other general symptoms,Concept,,
C0014868,Esophagitis,Concept,HP:0100633,Esophagitis
C0158350,Tendon contracture,Concept,,
C1279224,"Infectious colitis, enteritis and gastroenteritis",Concept,,
C0041667,Underweight,Concept,,
C0010380,Croup,Concept,,
C0149825,Hypertrophy of adenoids,Concept,,
C0042023,Increased frequency of micturition,Concept,HP:0100515,Pollakisuria
C0154446,"Infantile autism, current or active state",Concept,,
C0392702,Abnormal involuntary movement,Concept,,
C0496621,Need for immunization against yellow fever,Concept,,
C0155831,Hypertrophy of tonsils alone,Concept,,
C0795699,"Other diseases of pharynx, NEC in ICD9CM",Concept,,
C0920296,Developmental reading disorder,Concept,,
C0478095,Other specified congenital malformations,Concept,,
C0003811,Cardiac Arrhythmia,Concept,HP:0011675,Arrhythmia
C0260840,Other follow-up examination,Concept,,
C0344304,Generalized abdominal pain,Concept,,
C0375765,"Other specified vaccinations against hemophilus influenza, type B [Hib]",Concept,,
C0017168,Gastroesophageal reflux disease,Concept,HP:0002020,Gastroesophageal reflux
C0375766,Other specified vaccinations against streptococcus pneumoniae [pneumococcus],Concept,,
C0026758,"Multiple congenital anomalies, so described",Concept,,
C0158361,"Other disorders of muscle, ligament, and fascia",Concept,,
C2607914,Allergic rhinitis (disorder),Concept,HP:0003193,Allergic rhinitis
C0158897,"Extreme immaturity, 750-999 grams",Concept,,
C0375218,"Hemiplegia, unspecified affecting unspecified side",Concept,,
C0030196,Pain in limb,Concept,HP:0009763,Limb pain
C0159135,Other abnormal clinical findings,Concept,,
C3161328,,,,
C0009592,Compression of brain,Concept,,
C1455742,Chronic mucoid otitis media,Concept,,
C0158712,Congenital musculoskeletal deformities of spine,Concept,,
C0007194,Hypertrophic Cardiomyopathy,Concept,HP:0001639,Hypertrophic cardiomyopathy
C0027498,Nausea and vomiting,Concept,HP:0002017,Nausea and vomiting
C0878732,Encounter for adequacy testing for peritoneal dialysis,Concept,,
C0496634,Need for immunization against measles-mumps-rubella [MMR],Concept,,
C0153987,"Benign neoplasm of skin of trunk, excluding scrotum",Concept,,
C0497552,Congenital neurologic anomalies,Concept,HP:0000707,Abnormality of the nervous system
C0264222,Acute upper respiratory infection,Concept,,
C0348719,Other dental caries,Concept,,
C0728950,Vomiting alone,Concept,,
C0011757,Developmental Coordination Disorder,Concept,,
C0152212,Intermittent alternating esotropia,Concept,,
C0264133,Acquired flat foot,Concept,,
C0029781,Other specified disorders of kidney and ureter,Concept,,
C0260334,Pneumonitis due to inhalation of food or vomitus,Concept,,
C0520966,Abnormal coordination,Concept,HP:0002311,Incoordination
C0015544,Failure to Thrive,Concept,,
C0750903,"Amblyopia, Suppression",Concept,,
C1456302,Unspecified transient mental disorder in conditions classified elsewhere,Concept,,
C0015310,Exotropia,Concept,HP:0000577,Exotropia
